artist_id,Names,nationality,style,birth,death
655,Charles Cromwell Ingham,Irish,Portraitist,1796,1863
656,Wassily Kandinsky Kandinsky,Russian,Expressionist,1866,1944
657,Gerrit Berckheyde Berckheyde,Dutch,Rococo,1638,1698
658,George P A Healy,American,Portraitist,1813,1894
659,Albert André Andre,French,Expressionist,1869,1954
660,Georges Lemmen Lemmen,Belgian,Pointillist,1865,1916
661,Peder Severin Kroyer,Danish,Impressionist,1851,1909
662,Charles Courtney Curran,American,Impressionist,1861,1942
663,Sir George Clausen,English,Realist,1852,1944
664,Ludwig Deutsch Deutsch,Austrian,Orientalist,1855,1935
665,Ludolf Backhuysen Backhuysen,Dutch,Marine Art,1631,1708
666,Frederic Edwin Church,American,Hudson River School,1826,1900
667,Jean Leon Gerome,French,Orientalist,1824,1904
668,John Wollaston Wollaston,English,Rococo,1710,1775
669,Ferdinand Hodler Hodler,Swiss,Art Nouveau,1853,1918
670,Vasiliy Polenov Polenov,Russian,Landscape Art,1844,1927
671,Thomas Waterman Wood,American,Colonial,1823,1903
672,Benjamin Marshall Marshall,English,Romantic,1768,1835
673,Theodore Géricault Gericault,French,Romantic,1791,1824
674,Claude Joseph Vernet,French,Neoclassical,1714,1789
675,Jan Brueghel Brueghel,Flemish,Renaissance,1568,1625
676,Francois Hubert Drouais,French,Neoclassical,1727,1775
677,Vincent Gogh Van Gogh,Dutch,Post-Impressionist,1853,1890
678,Cecilia Beaux Beaux,American,Expressionist,1855,1942
679,Kitagawa Utamaro Utamaro,Japanese,Ukiyo-e,1754,1806
680,John Frederick Herring,English,Realist,1795,1865
681,Francisco Zurbarán De Zurbaran,Spanish,Baroque,1598,1664
682,Gwen John John,English,Nabi,1876,1939
683,George Frederic Watts,English,Symbolist,1817,1904
684,Carel Fabritius Fabritius,Dutch,Baroque,1622,1654
685,Eduard Grützner Von Grutzner,German,Rococo,1846,1925
686,Matthew Pratt Pratt,American,Colonial,1734,1805
687,Carlo Carra Carra,Italian,Futurist,1881,1966
688,Franz Marc Marc,German,Expressionist,1880,1916
689,Georges Seurat Seurat,French,Pointillist,1859,1891
690,John Hoppner Hoppner,English,Neoclassical,1758,1810
691,Fernand Léger Leger,French,Cubist,1881,1955
692,Bartolome Esteban Murillo,Spanish,Baroque,1617,1682
693,John Frederick Kensett,American,Hudson River School,1816,1872
694,Andre Derain Derain,French,Fauvist,1880,1954
695,Etienne Dinet Dinet,French,Orientalist,1861,1929
696,Henri Sidaner Le Sidaner,French,Post-Impressionist,1862,1939
697,Reinier Nooms Nooms,Dutch,Marine Art,1623,1664
698,Benvenuto Garofalo Garofalo,Italian,Renaissance,1481,1559
699,Jean Simeon Chardin,French,Rococo,1699,1779
700,William Redmore Bigg,English,Neoclassical,1755,1828
701,Giovanni Battista Tiepolo,Italian,Rococo,1696,1770
702,Louis Valtat Valtat,French,Fauvist,1869,1952
703,Jacob Van Ruisdael,Dutch,Baroque,1628,1682
704,John Kane Kane,American,Folk,1860,1934
705,Willem Bartel Van der Kooi,Dutch,Portraitist,1768,1836
706,Anton Raphael Mengs,German,Neoclassical,1728,1779
707,Laurent Hyre De La Hyre,French,Baroque,1606,1656
708,Alexei Jawlensky Von Jawlensky,Russian,Expressionist,1864,1941
709,Charles Brooking Brooking,English,Marine Art,1723,1759
710,Paul Gabriël Gabriel,Dutch,Landscape Art,1828,1903
711,Robert Delaunay Delaunay,French,Cubist,1885,1941
712,Albert Bierstadt Bierstadt,American,Hudson River School,1830,1902
713,Isaac Ostade Van Ostade,Dutch,Baroque,1621,1649
714,Francisco Goya De Goya,Spanish,Rococo,1746,1828
715,Jean Hippolyte Flandrin,French,Neoclassical,1809,1864
716,William Stanley Haseltine,American,Hudson River School,1835,1900
717,John Lynn Lynn,English,Marine Art,1826,1869
718,Charles Willson Peale,American,Colonial,1741,1827
719,Guido Reni Reni,Italian,Baroque,1575,1642
720,Jacques Louis David,French,Neoclassical,1748,1825
721,Ernest Lawson Lawson,Canadian,Impressionist,1873,1939
722,Fitz Hugh Lane,American,Hudson River School,1804,1865
723,George Gardner Symons,American,Impressionist,1863,1930
724,Gustave Moreau Moreau,French,Symbolist,1826,1898
725,Santiago Rusiñol Rusinol,Spanish,Post-Impressionist,1861,1931
726,James Peale Peale,American,Colonial,1749,1831
727,Geertgen Tot Sint Jans,Dutch,Renaissance,1465,1495
728,Jan Goyen Van Goyen,Dutch,Baroque,1596,1656
729,Willem Van De Velde,Dutch,Marine Art,1633,1707
730,Pieter Claesz Claesz,Dutch,Baroque,1597,1660
731,Jean Ranc Ranc,French,Baroque,1674,1735
732,Frans Hals Hals,Dutch,Baroque,1582,1666
733,George Inness Inness,American,Hudson River School,1825,1894
734,Edward Hicks Hicks,American,Colonial,1780,1849
735,David Teniers Teniers,Flemish,Baroque,1610,1690
736,Hendrick Brugghen Ter Brugghen,Dutch,Baroque,1588,1629
737,Nicolas Poussin Poussin,French,Baroque,1594,1665
738,Cima Conegliano Da Conegliano,Italian,Early Renaissance,1459,1517
739,Maurice Vlaminck De Vlaminck,French,Fauvist,1876,1958
740,Horace Vernet Vernet,French,Orientalist,1789,1863
741,Henri Edmond Cross,French,Pointillist,1856,1910
742,Georges D'Espagnat Despagnat,French,Post-Impressionist,1870,1950
743,Sawrey Gilpin Gilpin,English,Realist,1733,1807
744,Giovanni Boldini Boldini,Italian,Classicist,1842,1931
745,Gustave Doré Dore,French,Romantic,1832,1883
746,Jean Marc Nattier,French,Rococo,1685,1766
747,Jean Francois Raffaelli,French,Impressionist,1850,1924
748,Francois Gérard Gerard,French,Neoclassical,1770,1837
749,Pieter Hooch De Hooch,Dutch,Baroque,1629,1684
750,Christian Rohlfs Rohlfs,German,Expressionist,1849,1938
751,Jean Baptiste Perronneau,French,Rococo,1715,1783
752,Louis Comfort Tiffany,American,Art Nouveau,1848,1933
753,James Mcdougal Hart,American,Hudson River School,1828,1901
754,Franz Xavier Winterhalter,German,Classicist,1805,1873
755,Sergei Vinogradov Vinogradov,Russian,Impressionist,1864,1910
756,Paul Sérusier Serusier,French,Post-Impressionist,1863,1927
757,Adam Adam Albrecht,German,Baroque,1786,1862
758,Karel Dujardin Dujardin,Dutch,Baroque,1622,1678
759,Konstantin Gorbatov Gorbatov,Russian,Post-Impressionist,1876,1945
760,Kasimir Malevich Malevich,Russian,Cubist,1878,1935
761,Francis Picabia Picabia,French,Surrealist,1879,1953
762,Jack Butler Yeats,Irish,Expressionist,1871,1957
763,Paul Signac Signac,French,Pointillist,1863,1935
764,Joshua Reynolds Reynolds,English,Rococo,1723,1792
765,Judith Leyster Leyster,Dutch,Baroque,1609,1660
766,Pietro Longhi Longhi,Italian,Rococo,1701,1785
767,Pieter Jansz Saenredam,Dutch,Baroque,1597,1665
768,Caesar Boetius Van Everdingen,Dutch,Baroque,1616,1678
769,Berthe Morisot Morisot,French,Impressionist,1841,1895
770,Mark Rothko Rotho,American,Modern Art,1903,1970
771,Jacques Laurent Agasse,Swiss,Romantic,1767,1849
772,Spencer Frederick Gore,English,Expressionist,1878,1914
773,Georges Rouault Rouault,French,Expressionist,1871,1958
774,Diego Velázquez Velazquez,Spanish,Baroque,1599,1660
775,Grant Wood Wood,American,Colonial,1891,1942
776,Frederic Remington Remington,American,American West,1861,1909
777,Ambrosius Bosschaert Bosschaert,Dutch,Baroque,1573,1621
778,Raoul Dufy Dufy,French,Fauvist,1877,1953
779,Maurice Prendergast Prendergast,American,Post-Impressionist,1858,1924
780,Edwin Lord Weeks,American,Orientalist,1849,1903
781,Giacomo Balla Balla,Italian,Futurist,1871,1958
782,Paul Gauguin Gauguin,French,Post-Impressionist,1848,1903
783,Rogier Van der Weyden,Dutch,Northern Renaissance,1400,1464
784,Jan Willem Pieneman,Dutch,Portraitist,1779,1853
785,Lovis Corinth Corinth,German,Expressionist,1858,1925
786,Henri Fantin Latour,French,Realist,1836,1904
787,Lorenzo Lotto Lotto,Italian,High Renaissance,1480,1556
788,John Cleveley Cleveley,English,Marine Art,1712,1777
789,George Garrard Garrard,English,Realist,1760,1826
790,William Trost Richards,American,Hudson River School,1833,1905
791,John Singer Sargent,American,Impressionist,1856,1925
792,Edvard Munch Munch,Norwegian,Expressionist,1863,1944
793,Andrea Mantegna Mantegna,Italian,Renaissance,1431,1506
794,Winslow Homer Homer,American,Realist,1836,1910
795,Jan Van Eyck,Flemish,Northern Renaissance,1395,1441
796,Joseph Blackburn Blackburn,American,Rococo,1700,1780
797,Philippe De Champaigne,French,Baroque,1602,1674
798,Ferdinand Bol Bol,Dutch,Baroque,1616,1680
799,Camille Bombois Bombois,French,Avant-Garde,1883,1970
800,Amadeo de Souza Cardoso,Spanish,Cubist,1887,1918
801,Ivan Shishkin Shishkin,Russian,Romantic,1832,1898
802,William Sidney Mount,American,Realist,1807,1868
803,John Farge La Farge,American,Realist,1839,1924
804,Sir Peter Lely,Dutch,Baroque,1618,1680
805,Edward Potthast Potthast,American,Impressionist,1857,1927
806,Willem Claesz Heda,Dutch,Baroque,1594,1680
807,Henri Rousseau Rousseau,French,Avant-Garde,1844,1910
808,Alexey Savrasov Savrasov,Russian,Landscape Art,1830,1897
